X,Y,Incident_ID,Agency,Offense,Street,City,State,Zipcode,Date_of_Report,Date_of_Occurrence,Date_Found,Reported_As,Premise_Description,Forcible,Weapon_Description,Victim_Age,Victim_Race,Victim_Gender,Latitude,Longitude,ObjectId,
-8800548.471,4290176.895,75642,CHPD,LOUD MUSIC/PARTY,217 GREENE ST,CHAPEL HILL,NC,27516,2010/03/21 01:21:00+00,2010/03/21 01:20:00+00,2010/03/21 01:21:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.924058,-79.056672,1929,
-8800795.823,4289514.053,75316,CHPD,LOUD MUSIC/PARTY,106 STINSON ST,CHAPEL HILL,NC,27516,2010/03/08 02:19:00+00,2010/03/08 02:18:00+00,2010/03/08 02:19:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.919236,-79.058894,1974,
-8796141.221,4293225.773,75264,CHPD,LOUD MUSIC/PARTY,711 COSGROVE AVE,CHAPEL HILL,NC,27514,2010/03/06 03:45:00+00,2010/03/06 03:44:00+00,2010/03/06 03:45:00+00,<Null>,HOME OF VICTIM - OTHER DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.946234,-79.017081,1984,
-8795330.592,4290246.316,77084,CHPD,LOUD MUSIC/PARTY,864 PINEHURST DR,CHAPEL HILL,NC,27517,2010/05/29 23:04:00+00,2010/05/29 23:04:00+00,2010/05/29 23:04:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,U,U,35.924563,-79.009799,2001,
-8801014.232,4295443.401,77700,CHPD,LOUD MUSIC/PARTY,111 TREMONT CIR,CHAPEL HILL,NC,27516,2010/05/31 05:30:00+00,2010/05/31 02:12:00+00,2010/05/31 02:12:00+00,<Null>,OTHER RESIDENCE - OTHER DWELLING,N,<Null>,<Null>,<Null>,<Null>,35.96236,-79.060856,2030,
-8801188.781,4289533.71,76813,CHPD,LOUD MUSIC/PARTY,751 PRITCHARD AVE EXT,CHAPEL HILL,NC,27516,2010/05/17 00:24:00+00,2010/05/17 00:23:00+00,2010/05/17 00:24:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.919379,-79.062424,2085,
-8799971.279,4289989.255,76232,CHPD,LOUD MUSIC/PARTY,525 HILLSBOROUGH ST,CHAPEL HILL,NC,27514,2010/04/17 01:39:00+00,2010/04/17 01:38:00+00,2010/04/17 01:39:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.922693,-79.051487,2131,
-8801062.099,4289232.131,76389,CHPD,LOUD MUSIC/PARTY,607 CHURCH ST,CHAPEL HILL,NC,27516,2010/04/25 03:19:00+00,2010/04/25 03:18:00+00,2010/04/25 03:18:00+00,<Null>,HOME OF OFFENDER - SINGLE FAMI,N,<Null>,<Null>,<Null>,<Null>,35.917185,-79.061286,2146,
-8800178.89,4286261.463,76473,CHPD,LOUD MUSIC/PARTY,201 HOWELL ST,CHAPEL HILL,NC,27514,2010/04/28 23:56:00+00,2010/04/28 23:55:00+00,2010/04/28 23:56:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,N,<Null>,<Null>,<Null>,<Null>,35.89557,-79.053352,2151,
-8800063.007,4290213.324,76292,CHPD,LOUD MUSIC/PARTY/OTHER NOISE,612 HILLSBOROUGH ST,CHAPEL HILL,NC,27514,2010/04/19 22:18:00+00,2010/04/19 22:17:00+00,2010/04/19 22:18:00+00,<Null>,HOME OF OFFENDER - OTHER DWELL,<Null>,<Null>,<Null>,W,M,35.924323,-79.052311,2224,
